piece,key,major,relative,sharps,scale,has_D#,has_D,D#_degree,D_degree
bwv37.6.mxl,A,1,f#,3,"['A', 'B', 'C#', 'D', 'E', 'F#', 'G#', 'A']",False,True,,4.0
bwv370.mxl,C,1,a,0,"['C', 'D', 'E', 'F', 'G', 'A', 'B', 'C']",False,True,,2.0
bwv371.mxl,G,1,e,1,"['G', 'A', 'B', 'C', 'D', 'E', 'F#', 'G']",False,True,,5.0
bwv372.mxl,g,0,B-,-2,"['G', 'A', 'B-', 'C', 'D', 'E-', 'F', 'G']",True,True,6.0,5.0
bwv373.mxl,G,1,e,1,"['G', 'A', 'B', 'C', 'D', 'E', 'F#', 'G']",False,True,,5.0
bwv374.mxl,g,0,B-,-2,"['G', 'A', 'B-', 'C', 'D', 'E-', 'F', 'G']",True,True,6.0,5.0
bwv375.mxl,G,1,e,1,"['G', 'A', 'B', 'C', 'D', 'E', 'F#', 'G']",False,True,,5.0
bwv376.mxl,A,1,f#,3,"['A', 'B', 'C#', 'D', 'E', 'F#', 'G#', 'A']",False,True,,4.0
bwv377.mxl,D,1,b,2,"['D', 'E', 'F#', 'G', 'A', 'B', 'C#', 'D']",False,True,,1.0
bwv378.mxl,G,1,e,1,"['G', 'A', 'B', 'C', 'D', 'E', 'F#', 'G']",False,True,,5.0
bwv379.mxl,G,1,e,1,"['G', 'A', 'B', 'C', 'D', 'E', 'F#', 'G']",False,True,,5.0
bwv38.6.mxl,a,0,C,0,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'A']",False,True,,4.0
bwv380.mxl,E-,1,c,-3,"['E-', 'F', 'G', 'A-', 'B-', 'C', 'D', 'E-']",True,True,1.0,7.0
bwv381.mxl,e,0,G,1,"['E', 'F#', 'G', 'A', 'B', 'C', 'D', 'E']",False,True,,7.0
bwv382.mxl,d,0,F,-1,"['D', 'E', 'F', 'G', 'A', 'B-', 'C', 'D']",False,True,,1.0
bwv383.mxl,a,0,C,0,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'A']",False,True,,4.0
bwv384.mxl,c,0,E-,-3,"['C', 'D', 'E-', 'F', 'G', 'A-', 'B-', 'C']",True,True,3.0,2.0
bwv385.mxl,A,1,f#,3,"['A', 'B', 'C#', 'D', 'E', 'F#', 'G#', 'A']",False,True,,4.0
bwv386.mxl,A,1,f#,3,"['A', 'B', 'C#', 'D', 'E', 'F#', 'G#', 'A']",False,True,,4.0
bwv387.mxl,d,0,F,-1,"['D', 'E', 'F', 'G', 'A', 'B-', 'C', 'D']",False,True,,1.0
bwv388.mxl,G,1,e,1,"['G', 'A', 'B', 'C', 'D', 'E', 'F#', 'G']",False,True,,5.0
bwv389.mxl,C,1,a,0,"['C', 'D', 'E', 'F', 'G', 'A', 'B', 'C']",False,True,,2.0
bwv39.7.mxl,B-,1,g,-2,"['B-', 'C', 'D', 'E-', 'F', 'G', 'A', 'B-']",True,True,4.0,3.0
bwv390.mxl,C,1,a,0,"['C', 'D', 'E', 'F', 'G', 'A', 'B', 'C']",False,True,,2.0
bwv391.mxl,G,1,e,1,"['G', 'A', 'B', 'C', 'D', 'E', 'F#', 'G']",False,True,,5.0
bwv392.mxl,B-,1,g,-2,"['B-', 'C', 'D', 'E-', 'F', 'G', 'A', 'B-']",True,True,4.0,3.0
bwv393.mxl,A,1,f#,3,"['A', 'B', 'C#', 'D', 'E', 'F#', 'G#', 'A']",False,True,,4.0
bwv394.mxl,A,1,f#,3,"['A', 'B', 'C#', 'D', 'E', 'F#', 'G#', 'A']",False,True,,4.0
bwv395.mxl,A,1,f#,3,"['A', 'B', 'C#', 'D', 'E', 'F#', 'G#', 'A']",False,True,,4.0
bwv396.mxl,a,0,C,0,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'A']",False,True,,4.0
bwv397.mxl,F,1,d,-1,"['F', 'G', 'A', 'B-', 'C', 'D', 'E', 'F']",False,True,,6.0
bwv399.mxl,G,1,e,1,"['G', 'A', 'B', 'C', 'D', 'E', 'F#', 'G']",False,True,,5.0
bwv4.8.mxl,d,0,F,-1,"['D', 'E', 'F', 'G', 'A', 'B-', 'C', 'D']",False,True,,1.0
bwv40.3.mxl,g,0,B-,-2,"['G', 'A', 'B-', 'C', 'D', 'E-', 'F', 'G']",True,True,6.0,5.0
bwv40.6.mxl,d,0,F,-1,"['D', 'E', 'F', 'G', 'A', 'B-', 'C', 'D']",False,True,,1.0
bwv40.8.mxl,f,0,A-,-4,"['F', 'G', 'A-', 'B-', 'C', 'D-', 'E-', 'F']",True,False,7.0,
bwv400.mxl,E-,1,c,-3,"['E-', 'F', 'G', 'A-', 'B-', 'C', 'D', 'E-']",True,True,1.0,7.0
bwv401.mxl,F,1,d,-1,"['F', 'G', 'A', 'B-', 'C', 'D', 'E', 'F']",False,True,,6.0
bwv402.mxl,E-,1,c,-3,"['E-', 'F', 'G', 'A-', 'B-', 'C', 'D', 'E-']",True,True,1.0,7.0
bwv403.mxl,g,0,B-,-2,"['G', 'A', 'B-', 'C', 'D', 'E-', 'F', 'G']",True,True,6.0,5.0
bwv404.mxl,a,0,C,0,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'A']",False,True,,4.0
bwv405.mxl,d,0,F,-1,"['D', 'E', 'F', 'G', 'A', 'B-', 'C', 'D']",False,True,,1.0
bwv406.mxl,d,0,F,-1,"['D', 'E', 'F', 'G', 'A', 'B-', 'C', 'D']",False,True,,1.0
bwv407.mxl,D,1,b,2,"['D', 'E', 'F#', 'G', 'A', 'B', 'C#', 'D']",False,True,,1.0
